EpisodeId,Word,Occurrences
132,sub,4
132,movies,1
132,sun,1
132,emotions,1
132,find,1
132,cell,1
132,goes,1
132,designing,1
132,new,4
132,ever,4
132,filled,1
132,told,1
132,Me,1
132,full,5
132,led,1
132,deadbeat,1
132,never,6
132,We,5
132,revenge,1
132,English,1
132,My,3
132,wait,4
132,boy,1
132,great,4
132,kids,2
132,Chinese,1
132,leaves,4
132,Your,2
132,airport,1
132,pick,1
132,patriotic,1
132,Rodriguez,2
132,weird,1
132,makes,2
132,Goliath,1
132,Grenier,1
132,biodegradable,1
132,love,4
132,Adios,1
132,suddenly,2
132,Support,1
132,feelings,2
132,spanish,2
132,ask,2
132,worth,1
132,clock,2
132,suicidey,1
132,standing,1
132,use,4
132,charge,1
132,eye,2
132,uninsured,1
132,would,2
132,Manhattan,1
132,dude,1
132,two,2
132,next,2
132,call,2
132,cared,1
132,intend,1
132,tell,5
132,today,4
132,loving,2
132,sort,1
132,Didn,1
132,paperwork,2
132,supporters,1
132,Kennedy,1
132,harrowing,1
132,brisk,1
132,Apparently,1
132,Hacky,1
132,downtown,1
132,phone,7
132,Ugh,1
132,So,4
132,basically,2
132,Growing,1
132,throw,1
132,given,1
132,outdated,1
132,glad,2
132,must,1
132,bridesmaid,1
132,enjoying,1
132,join,1
132,room,3
132,Crowd,2
132,pout,1
132,challenge,3
132,work,3
132,Eat,1
132,soup,1
132,anywhere,1
132,learn,1
132,Hershel,5
132,making,3
132,meatball,4
132,anybody,1
132,Tomorrow,1
132,Out,1
132,beautiful,1
132,crazy,1
132,hamburger,1
132,challenging,1
132,figure,1
132,give,1
132,Lil,2
132,awesome,3
132,abandonment,1
132,sick,2
132,high,1
132,heard,1
132,rise,1
132,something,8
132,want,11
132,also,1
132,bones,1
132,species,1
132,Couldn,1
132,Spanish,2
132,end,2
132,thing,1
132,Who,3
132,Scooby,1
132,someone,1
132,till,1
132,nowhere,1
132,swear,2
132,models,1
132,answer,1
132,place,1
132,speaks,2
132,Why,8
132,pizza,2
132,A,2
132,furiously,1
132,okay,3
132,plans,1
132,Can,1
132,wrong,1
132,wistful,1
132,coming,3
132,Wile,1
132,arch,1
132,grow,1
132,autograph,1
132,man,2
132,ecologist,1
132,All,2
132,remember,2
132,orchard,1
132,bullies,1
132,maybe,3
132,headquarters,1
132,One,1
132,beeping,1
132,honestly,1
132,silence,1
132,Another,1
132,things,3
132,furious,1
132,every,2
132,volunteers,1
132,dream,3
132,playing,1
132,talk,4
132,What,12
132,Barney,56
132,help,2
132,appartment,4
132,move,1
132,midnight,1
132,years,5
132,course,5
132,paper,1
132,looks,1
132,still,3
132,bunch,2
132,perfect,2
132,Think,1
132,His,1
132,thank,2
132,Where,2
132,ll,3
132,torn,1
132,Here,1
132,actually,1
132,better,5
132,window,3
132,degrees,1
132,bummer,1
132,symptoms,1
132,covered,1
132,lira,1
132,bye,1
132,might,2
132,Spain,5
132,happened,2
132,dad,4
132,coffee,2
132,Kids,2
132,later,1
132,matches,2
132,L,1
132,invitations,3
132,break,1
132,lunch,3
132,couples,3
132,Because,1
132,She,3
132,kiss,1
132,party,3
132,front,1
132,hearing,1
132,lifelong,2
132,Robin,24
132,bigger,1
132,Saving,1
132,name,3
132,always,3
132,didn,5
132,leading,1
132,chuckles,1
132,Say,1
132,Thanks,2
132,Council,1
132,raiser,4
132,entirely,1
132,bills,2
132,mean,7
132,heavy,1
132,challenged,3
132,house,1
132,MArshall,2
132,hard,2
132,challenges,1
132,arrives,2
132,Prof,1
132,Don,1
132,girl,1
132,coughs,1
132,sexual,1
132,special,1
132,really,6
132,gon,6
132,driving,2
132,bag,1
132,since,2
132,marina,1
132,looking,1
132,re,24
132,carTed,1
132,Baby,7
132,got,11
132,Hold,1
132,cause,1
132,BarRobin,1
132,END,3
132,G,1
132,This,3
132,Sometimes,1
132,humiliating,1
132,little,6
132,reason,1
132,Stupid,1
132,W,1
132,thrust,1
132,teach,1
132,wanted,3
132,care,2
132,unresolved,1
132,couldn,1
132,spill,1
132,starts,3
132,National,2
132,put,1
132,keep,1
132,unpaid,1
132,expecting,1
132,isn,1
132,Huh,1
132,onto,1
132,think,4
132,Aldrin,1
132,first,2
132,Even,1
132,already,2
132,saving,2
132,feel,4
132,There,5
132,number,1
132,one,11
132,done,3
132,bitch,1
132,another,1
132,wasn,1
132,neighborhood,1
132,sounds,1
